City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Butaritari,KI,82.58,light rain,3.0707,172.7902,Isles Sunset Lodge
4,Codrington,AU,75.06,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
10,Atuona,PF,78.57,light rain,-9.8,-139.0333,Villa Enata
13,Traralgon,AU,79.84,clear sky,-38.1833,146.5333,Comfort Inn Traralgon
15,New Norfolk,AU,77.67,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
17,Busselton,AU,76.05,overcast clouds,-33.65,115.3333,Observatory Guest House
19,Popondetta,PG,87.48,overcast clouds,-8.7537,148.2534,Timos Transit House
24,Kota Kinabalu,MY,87.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
25,Hithadhoo,MV,82.13,clear sky,-0.6,73.0833,Scoop Guest House
28,Hobart,AU,78.03,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
40,Bengkulu,ID,77.02,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
45,Rikitea,PF,79.3,broken clouds,-23.1203,-134.9692,People ThankYou
49,Banda Aceh,ID,85.6,overcast clouds,5.5577,95.3222,Sulthan Hotel International
51,Mahebourg,MU,82.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
54,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
57,Blackwater,AU,87.91,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
64,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
66,Ngunguru,NZ,75.16,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
70,Kavieng,PG,83.5,light rain,-2.5744,150.7967,Nusa Island Retreat
71,Sinnamary,GF,76.71,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
73,Souillac,MU,82.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
87,Nabire,ID,85.17,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
91,Saint-Philippe,RE,83.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
92,Makakilo City,US,75.56,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
94,Carnarvon,AU,84.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
95,Puerto Ayora,EC,75.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
114,Itarema,BR,77.0,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
117,Voh,NC,78.3,moderate rain,-20.9667,164.7,Le gîte du Koniambo
122,Hervey Bay,AU,82.51,light rain,-25.2986,152.8535,Shelly Bay Resort
125,Faanui,PF,80.58,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
127,Saint-Pierre,RE,83.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
128,Cockburn Town,TC,76.01,clear sky,21.4612,-71.1419,Osprey Beach Hotel
131,Acapulco,MX,75.6,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
134,Geraldton,AU,81.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
135,Sola,VU,81.88,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
136,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
143,Puerto Colombia,CO,78.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
145,Auki,SB,84.47,broken clouds,-8.7676,160.7034,Auki Motel
146,Lorengau,PG,84.25,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
148,Vila Velha,BR,75.94,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
151,Libreville,GA,76.77,scattered clouds,0.3925,9.4537,Le Méridien Re-Ndama
152,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
157,Kavaratti,IN,78.24,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
162,Malindi,KE,77.16,broken clouds,-3.2175,40.1191,African House Resort
165,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
172,Harper,LR,77.54,moderate rain,4.375,-7.7169,Screensaver
174,Pocone,BR,75.07,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
184,Yulara,AU,87.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
198,Da Nang,VN,76.98,broken clouds,16.0678,108.2208,Sun River Hotel
202,Kahului,US,75.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
206,Kandrian,PG,88.72,overcast clouds,-6.2167,149.55,Kandrian Station
207,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
210,Kununurra,AU,89.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
211,Tual,ID,83.66,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
214,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
216,Matara,LK,85.33,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
217,Lethem,GY,76.48,overcast clouds,3.3803,-59.7968,Savannah Inn
223,Arraial Do Cabo,BR,75.85,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
237,Akyab,MM,75.9,overcast clouds,20.15,92.9,Hotel Memory
243,Samarai,PG,85.03,overcast clouds,-10.6167,150.6667,Nuli Sapi
244,Le Port,RE,84.2,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
250,Noumea,NC,85.98,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
251,San Policarpo,PH,82.54,broken clouds,12.1791,125.5072,Agapita M. Nicart
256,Bundaberg,AU,82.69,broken clouds,-24.85,152.35,Takalvan Motel
259,Biak,ID,83.52,broken clouds,-0.9131,122.8766,Penginapan Kim
265,Dingle,PH,83.53,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
268,Bo Phloi,TH,85.19,broken clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
272,Cayenne,GF,80.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
277,Antalaha,MG,82.02,broken clouds,-14.9003,50.2788,Hotel Vitasoa
280,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
281,Miguel Pereira,BR,75.07,overcast clouds,-22.4539,-43.4689,Quarto dos Sonhos
