City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
0,Hilo,19.7297,-155.09,71.8,94,39,4.0,US,scattered clouds,2022-02-06 04:42:21
1,Butaritari,3.0707,172.7902,82.58,76,96,17.2,KI,light rain,2022-02-06 04:42:21
2,Hermanus,-34.4187,19.2345,71.91,79,79,7.18,ZA,broken clouds,2022-02-06 04:42:22
3,Wukari,7.85,9.7833,67.8,22,0,6.67,NG,clear sky,2022-02-06 04:42:22
4,Codrington,-38.2667,141.9667,75.06,50,43,19.57,AU,scattered clouds,2022-02-06 04:42:23
5,Mataura,-46.1927,168.8643,57.47,41,9,5.5,NZ,clear sky,2022-02-06 04:42:23
6,Grindavik,63.8424,-22.4338,31.95,74,75,19.57,IS,broken clouds,2022-02-06 04:42:23
7,Coihaique,-45.5752,-72.0662,53.55,82,0,4.61,CL,clear sky,2022-02-06 04:40:06
8,Taldan,53.6667,124.8,10.85,52,100,6.76,RU,overcast clouds,2022-02-06 04:42:24
9,Phek,25.6667,94.5,51.06,43,26,2.68,IN,scattered clouds,2022-02-06 04:42:25
10,Atuona,-9.8,-139.0333,78.57,79,45,23.6,PF,light rain,2022-02-06 04:42:25
11,Albany,42.6001,-73.9662,8.47,71,6,3.76,US,clear sky,2022-02-06 04:42:25
12,Qaanaaq,77.484,-69.3632,-1.93,97,100,2.3,GL,overcast clouds,2022-02-06 04:42:26
13,Traralgon,-38.1833,146.5333,79.84,38,0,9.57,AU,clear sky,2022-02-06 04:42:26
14,Ushuaia,-54.8,-68.3,49.66,71,20,12.66,AR,few clouds,2022-02-06 04:39:04
15,New Norfolk,-42.7826,147.0587,77.67,32,0,3.0,AU,clear sky,2022-02-06 04:42:27
16,Bluff,-46.6,168.3333,57.79,58,6,12.97,NZ,clear sky,2022-02-06 04:42:28
17,Busselton,-33.65,115.3333,76.05,58,88,13.47,AU,overcast clouds,2022-02-06 04:42:28
18,Upernavik,72.7868,-56.1549,-1.97,97,100,4.27,GL,overcast clouds,2022-02-06 04:42:28
19,Popondetta,-8.7537,148.2534,87.48,65,100,5.03,PG,overcast clouds,2022-02-06 04:42:29
20,Bredasdorp,-34.5322,20.0403,69.28,88,71,4.61,ZA,broken clouds,2022-02-06 04:42:29
21,Chokurdakh,70.6333,147.9167,-33.32,100,100,2.64,RU,overcast clouds,2022-02-06 04:42:30
22,Ogre,56.8162,24.614,33.53,97,99,9.6,LV,overcast clouds,2022-02-06 04:42:30
23,Yekaterinovka,52.0508,44.3451,-4.11,100,100,5.08,RU,overcast clouds,2022-02-06 04:42:30
24,Kota Kinabalu,5.9749,116.0724,87.78,74,20,4.61,MY,few clouds,2022-02-06 04:42:31
25,Hithadhoo,-0.6,73.0833,82.13,73,5,10.29,MV,clear sky,2022-02-06 04:42:31
26,Fortuna,40.5982,-124.1573,44.94,95,0,8.05,US,clear sky,2022-02-06 04:42:32
27,Barrow,71.2906,-156.7887,-21.98,69,0,9.22,US,clear sky,2022-02-06 04:42:32
28,Hobart,-42.8794,147.3294,78.03,36,20,17.27,AU,few clouds,2022-02-06 04:42:32
29,Cape Town,-33.9258,18.4232,72.12,88,0,2.3,ZA,clear sky,2022-02-06 04:39:04
30,Punta Arenas,-53.15,-70.9167,50.11,66,40,8.05,CL,scattered clouds,2022-02-06 04:40:16
31,Mar Del Plata,-38.0023,-57.5575,60.1,86,75,11.01,AR,broken clouds,2022-02-06 04:40:53
32,Arman,59.7,150.1667,10.06,76,21,9.55,RU,few clouds,2022-02-06 04:42:33
33,Ponta Do Sol,32.6667,-17.1,66.13,53,56,13.47,PT,broken clouds,2022-02-06 04:42:34
34,Biltine,14.5333,20.9167,58.33,18,22,15.57,TD,few clouds,2022-02-06 04:42:34
35,Arlit,18.7369,7.3853,57.56,19,0,9.33,NE,clear sky,2022-02-06 04:42:34
36,Tuatapere,-46.1333,167.6833,57.81,49,20,8.23,NZ,few clouds,2022-02-06 04:42:35
37,Webuye,0.6075,34.7697,64.0,72,97,2.86,KE,overcast clouds,2022-02-06 04:42:35
38,Flinders,-34.5833,150.8552,74.21,71,90,15.39,AU,overcast clouds,2022-02-06 04:42:36
39,Atasu,48.6814,71.6433,17.56,67,19,21.36,KZ,few clouds,2022-02-06 04:42:36
40,Bengkulu,-3.8004,102.2655,77.02,86,100,11.59,ID,overcast clouds,2022-02-06 04:42:37
41,Luderitz,-26.6481,15.1594,66.25,82,87,3.47,NA,overcast clouds,2022-02-06 04:42:37
42,Lebu,-37.6167,-73.65,57.02,89,0,14.27,CL,clear sky,2022-02-06 04:42:38
43,Thompson,55.7435,-97.8558,-27.24,75,20,0.0,CA,few clouds,2022-02-06 04:42:15
44,Castro,-24.7911,-50.0119,62.64,98,98,3.8,BR,light rain,2022-02-06 04:42:39
45,Rikitea,-23.1203,-134.9692,79.3,70,83,15.61,PF,broken clouds,2022-02-06 04:43:39
46,Moyo,3.6609,31.7247,71.06,23,100,3.4,UG,overcast clouds,2022-02-06 04:43:40
